"Variable","Term","Estimate","Std. Error","95% CI","p (raw)","p (FDR)","Signif"
"GPT/ALT (U/l)","BMI (baseline), centered",1.255,0.253,"0.758 to 1.753",1.25e-06,2.63e-05,"☆☆☆"
"ESR (mm/h)","BMI (baseline), centered",0.291,0.069,"0.155 to 0.427",3.53e-05,0.000255,"☆☆☆"
"Monocytes abs. (Tsd./µl)","BMI (baseline), centered",0.006,0.002,"0.003 to 0.01",3.65e-05,0.000255,"☆☆☆"
"GOT/AST (U/l)","BMI (baseline), centered",0.687,0.167,"0.358 to 1.015",5.27e-05,0.000277,"☆☆☆"
"CRP (mg/l)","BMI (baseline), centered",0.201,0.055,"0.092 to 0.31",0.000351,0.00147,"☆☆☆"
"TG/HDL Ratio","BMI (baseline), centered",0.039,0.011,"0.017 to 0.062",0.000613,0.00215,"☆☆☆"
"White Blood Cells (Tsd./µl)","BMI (baseline), centered",0.042,0.017,"0.009 to 0.076",0.0136,0.0407,"☆"
"Insulin (mIU/l)","BMI (baseline), centered",0.198,0.095,"0.011 to 0.385",0.0379,0.0902,"☆"
"Neutrophils abs. (Tsd./µl)","BMI (baseline), centered",0.032,0.015,"0.002 to 0.063",0.0387,0.0902,"☆"
"Alkaline Phosphatase (U/l)","BMI (baseline), centered",0.236,0.125,"-0.01 to 0.481",0.0596,0.113,""
"Ferritin (µg/l)","BMI (baseline), centered",1.904,1.046,"-0.155 to 3.963",0.0698,0.113,""
"Immature Granulocytes abs. (Tsd./µl)","BMI (baseline), centered",0,0,"0 to 0",0.0569,0.113,""
"Total Cholesterol (mg/dl)","BMI (baseline), centered",-0.696,0.382,"-1.449 to 0.058",0.0701,0.113,""
"Lymphocytes abs. (Tsd./µl)","BMI (baseline), centered",0.008,0.005,"-0.002 to 0.018",0.111,0.166,""
"Triglycerides (mg/dl)","BMI (baseline), centered",0.48,0.367,"-0.242 to 1.202",0.191,0.268,""
"Uric Acid (mg/dl)","BMI (baseline), centered",0.03,0.024,"-0.018 to 0.078",0.225,0.295,""
"Platelets (Tsd./µl)","BMI (baseline), centered",0.5,0.436,"-0.36 to 1.359",0.253,0.313,""
"Serum Glucose (mg/dl)","BMI (baseline), centered",0.209,0.243,"-0.27 to 0.687",0.391,0.457,""
"Basophils abs. (Tsd./µl)","BMI (baseline), centered",0,0,"-0.001 to 0",0.507,0.56,""
"LDL-C (mg/dl)","BMI (baseline), centered",-0.238,0.4,"-1.026 to 0.55",0.552,0.58,""
"Eosinophils abs. (Tsd./µl)","BMI (baseline), centered",0,0.001,"-0.002 to 0.002",0.81,0.81,""
"Ferritin (µg/l)","Baseline (T0), centered",1.245,0.044,"1.157 to 1.332",1.3e-79,2.72e-78,"☆☆☆"
"Alkaline Phosphatase (U/l)","Baseline (T0), centered",0.879,0.032,"0.817 to 0.941",7.6e-79,7.98e-78,"☆☆☆"
"Platelets (Tsd./µl)","Baseline (T0), centered",0.867,0.039,"0.79 to 0.945",1.44e-60,1.01e-59,"☆☆☆"
"Total Cholesterol (mg/dl)","Baseline (T0), centered",0.756,0.043,"0.671 to 0.841",2.25e-45,1.18e-44,"☆☆☆"
"LDL-C (mg/dl)","Baseline (T0), centered",0.737,0.047,"0.644 to 0.829",2.53e-39,1.06e-38,"☆☆☆"
"Eosinophils abs. (Tsd./µl)","Baseline (T0), centered",0.364,0.025,"0.315 to 0.414",9.95e-35,3.48e-34,"☆☆☆"
"Lymphocytes abs. (Tsd./µl)","Baseline (T0), centered",0.58,0.044,"0.492 to 0.667",5.82e-30,1.75e-29,"☆☆☆"
