term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
AIP_T0,-0.14011625057289218,0.0695492849162906,-2.014632511916346,0.04499706907533561,-0.2770829637467921,-0.0031495373989922915,fasting_T0T1,CRP (mg/l),AIP_T0,261,261
BMI_baseline,0.06119858358021228,0.013042504014599648,4.6922418817511735,4.420105655171802e-6,0.035513360380761666,0.0868838067796629,fasting_T0T1,CRP (mg/l),AIP_T0,261,261
Y_T0,0.6410185940190719,0.05033580949797789,12.734842260653883,4.642954351456714e-29,0.5418898913992879,0.7401472966388559,fasting_T0T1,CRP (mg/l),AIP_T0,261,261
age,-0.0022886636742346254,0.0015479205359047057,-1.4785408043552966,0.1405020942169044,-0.005337057174073314,7.597298256040636e-4,fasting_T0T1,CRP (mg/l),AIP_T0,261,261
fasting_duration_measured,-0.03972588097475773,0.013430456760640651,-2.9578950055651534,0.003389501268244134,-0.06617511796034548,-0.013276643989169994,fasting_T0T1,CRP (mg/l),AIP_T0,261,261
sexM,-0.03707367768776123,0.12664572473231267,-0.2927353273560775,0.7699634612721667,-0.2864831241686167,0.21233576879309424,fasting_T0T1,CRP (mg/l),AIP_T0,261,261
BMI_baseline,0.05754250593938213,0.012797726776970006,4.496306800589934,1.052054022700439e-5,0.0323393341907591,0.08274567768800516,fasting_T0T1,CRP (mg/l),TyG_T0,261,261
TyG_T0,-0.0953882406640061,0.063041955489941,-1.513091399571612,0.1314996930249809,-0.21953976063872851,0.028763279310716316,fasting_T0T1,CRP (mg/l),TyG_T0,261,261
Y_T0,0.6382753761413825,0.05053908836293057,12.629340908522304,1.0586440474560782e-28,0.5387463467889254,0.7378044054938396,fasting_T0T1,CRP (mg/l),TyG_T0,261,261
age,-0.0020018714835328645,0.0015481630973587074,-1.293062395653417,0.19716432382893676,-0.005050742671174344,0.0010469997041086146,fasting_T0T1,CRP (mg/l),TyG_T0,261,261
fasting_duration_measured,-0.039009737268334524,0.013534427847768909,-2.882259797540323,0.004286151592759127,-0.06566372945861221,-0.012355745078056837,fasting_T0T1,CRP (mg/l),TyG_T0,261,261
sexM,-0.09793728538678861,0.11908482020200635,-0.8224162006597929,0.4116114403641945,-0.33245668312905324,0.13658211235547602,fasting_T0T1,CRP (mg/l),TyG_T0,261,261
BMI_baseline,0.06354453755674158,0.013020893526028842,4.880197924183596,1.873527672411303e-6,0.03790187291980082,0.08918720219368234,fasting_T0T1,CRP (mg/l),logHOMA_T0,261,261
Y_T0,0.6511808891417049,0.05058348078954813,12.873390264520031,1.569560095156987e-29,0.5515644356730841,0.7507973426103257,fasting_T0T1,CRP (mg/l),logHOMA_T0,261,261
age,-0.0017222399533676175,0.0015415885790631095,-1.1171852054160245,0.26497077479829506,-0.004758163629575535,0.0013136837228402997,fasting_T0T1,CRP (mg/l),logHOMA_T0,261,261
