Phase,Outcome,Predictor,Term,Estimate,95% CI,P (raw),P (FDR),n_subjects,n_obs
fasting_T0T1,CRP (mg/l),AIP_T0,"AIP (T0), z",-0.14,"[-0.277, -0.003]",0.04500,0.18118,261,261
fasting_T0T1,CRP (mg/l),AIP_T0,Age,-0.002,"[-0.005, 0.001]",0.14050,0.31413,261,261
fasting_T0T1,CRP (mg/l),AIP_T0,BMI (baseline),0.061,"[0.036, 0.087]",4.4e-06,2.0e-05,261,261
fasting_T0T1,CRP (mg/l),AIP_T0,Baseline outcome (T0),0.641,"[0.542, 0.74]",4.6e-29,1.7e-28,261,261
fasting_T0T1,CRP (mg/l),AIP_T0,Fasting duration,-0.04,"[-0.066, -0.013]",0.00339,0.00577,261,261
fasting_T0T1,CRP (mg/l),AIP_T0,Sex: Male,-0.037,"[-0.286, 0.212]",0.76996,0.95853,261,261
fasting_T0T1,CRP (mg/l),TyG_T0,Age,-0.002,"[-0.005, 0.001]",0.19716,0.31413,261,261
fasting_T0T1,CRP (mg/l),TyG_T0,BMI (baseline),0.058,"[0.032, 0.083]",1.1e-05,3.2e-05,261,261
fasting_T0T1,CRP (mg/l),TyG_T0,Baseline outcome (T0),0.638,"[0.539, 0.738]",1.1e-28,2.7e-28,261,261
fasting_T0T1,CRP (mg/l),TyG_T0,Fasting duration,-0.039,"[-0.066, -0.012]",0.00429,0.00643,261,261
fasting_T0T1,CRP (mg/l),TyG_T0,Sex: Male,-0.098,"[-0.332, 0.137]",0.41161,0.77823,261,261
fasting_T0T1,CRP (mg/l),TyG_T0,"TyG (T0), z",-0.095,"[-0.22, 0.029]",0.13150,0.26300,261,261
fasting_T0T1,CRP (mg/l),logHOMA_T0,Age,-0.002,"[-0.005, 0.001]",0.26497,0.31796,261,261
fasting_T0T1,CRP (mg/l),logHOMA_T0,BMI (baseline),0.064,"[0.038, 0.089]",1.9e-06,1.1e-05,261,261
fasting_T0T1,CRP (mg/l),logHOMA_T0,Baseline outcome (T0),0.651,"[0.552, 0.751]",1.6e-29,7.1e-29,261,261
fasting_T0T1,CRP (mg/l),logHOMA_T0,Fasting duration,-0.04,"[-0.066, -0.013]",0.00321,0.00577,261,261
fasting_T0T1,CRP (mg/l),logHOMA_T0,Sex: Male,-0.107,"[-0.333, 0.118]",0.34947,0.77823,261,261
fasting_T0T1,CRP (mg/l),logHOMA_T0,"log(HOMA-IR) (T0), z",-0.156,"[-0.28, -0.032]",0.01377,0.08261,261,261
fasting_T0T1,ESR (mm/h),AIP_T0,"AIP (T0), z",-0.013,"[-0.107, 0.082]",0.79314,0.95177,255,255
fasting_T0T1,ESR (mm/h),AIP_T0,Age,-0.002,"[-0.004, 0]",0.07294,0.30370,255,255
fasting_T0T1,ESR (mm/h),AIP_T0,BMI (baseline),0.041,"[0.024, 0.059]",6.0e-06,2.1e-05,255,255
fasting_T0T1,ESR (mm/h),AIP_T0,Baseline outcome (T0),0.53,"[0.443, 0.617]",1.7e-26,2.6e-26,255,255
fasting_T0T1,ESR (mm/h),AIP_T0,Fasting duration,-0.04,"[-0.058, -0.022]",2.3e-05,0.00019,255,255
fasting_T0T1,ESR (mm/h),AIP_T0,Sex: Male,0.151,"[-0.025, 0.328]",0.09242,0.33270,255,255
fasting_T0T1,ESR (mm/h),TyG_T0,Age,-0.002,"[-0.004, 0]",0.07736,0.30370,255,255
fasting_T0T1,ESR (mm/h),TyG_T0,BMI (baseline),0.042,"[0.025, 0.059]",1.7e-06,1.1e-05,255,255
fasting_T0T1,ESR (mm/h),TyG_T0,Baseline outcome (T0),0.533,"[0.446, 0.62]",1.4e-26,2.3e-26,255,255
fasting_T0T1,ESR (mm/h),TyG_T0,Fasting duration,-0.039,"[-0.058, -0.021]",3.2e-05,0.00019,255,255
fasting_T0T1,ESR (mm/h),TyG_T0,Sex: Male,0.159,"[-0.007, 0.325]",0.06039,0.29052,255,255
fasting_T0T1,ESR (mm/h),TyG_T0,"TyG (T0), z",-0.032,"[-0.117, 0.054]",0.46378,0.64821,255,255
fasting_T0T1,ESR (mm/h),logHOMA_T0,Age,-0.002,"[-0.004, 0]",0.10123,0.30370,255,255
fasting_T0T1,ESR (mm/h),logHOMA_T0,BMI (baseline),0.046,"[0.028, 0.063]",4.9e-07,8.9e-06,255,255
fasting_T0T1,ESR (mm/h),logHOMA_T0,Baseline outcome (T0),0.538,"[0.451, 0.625]",5.1e-27,9.1e-27,255,255
fasting_T0T1,ESR (mm/h),logHOMA_T0,Fasting duration,-0.039,"[-0.058, -0.021]",2.9e-05,0.00019,255,255
fasting_T0T1,ESR (mm/h),logHOMA_T0,Sex: Male,0.162,"[0.002, 0.323]",0.04775,0.29052,255,255
fasting_T0T1,ESR (mm/h),logHOMA_T0,"log(HOMA-IR) (T0), z",-0.066,"[-0.151, 0.019]",0.12558,0.25116,255,255
fasting_T0T1,Ferritin (µg/l),AIP_T0,"AIP (T0), z",0.046,"[-0.002, 0.093]",0.06039,0.18118,261,261
fasting_T0T1,Ferritin (µg/l),AIP_T0,Age,0,"[-0.001, 0.001]",0.47280,0.53190,261,261
fasting_T0T1,Ferritin (µg/l),AIP_T0,BMI (baseline),-0.001,"[-0.009, 0.008]",0.89867,0.95153,261,261
fasting_T0T1,Ferritin (µg/l),AIP_T0,Baseline outcome (T0),0.774,"[0.722, 0.825]",2.2e-84,2.0e-83,261,261
fasting_T0T1,Ferritin (µg/l),AIP_T0,Fasting duration,0.008,"[-0.001, 0.017]",0.08381,0.10775,261,261
fasting_T0T1,Ferritin (µg/l),AIP_T0,Sex: Male,0.065,"[-0.026, 0.157]",0.16022,0.48065,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,Age,0,"[-0.001, 0.001]",0.58525,0.61968,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,BMI (baseline),0,"[-0.008, 0.008]",0.97657,0.97657,261,261
