term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
(Intercept),-0.3546250843599466,0.3414404323502235,-1.0386147941500945,0.30015055275671765,-1.0276243632091102,0.31837419448921694,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
Y_T1,0.8550577986097452,0.03607930271138082,23.69939922203725,6.951020752736836e-62,0.7839433598802569,0.9261722373392335,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
AIP_T0,-0.043394202738934344,0.04969307791620393,-0.8732444146870676,0.3835041341918437,-0.14134219727256606,0.054553791794697375,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
age,-6.905119721065107e-4,0.003806179300012377,-0.18141866624734818,0.8562098834877865,-0.008192716401872156,0.006811692457659136,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
sexM,-0.0998545036870587,0.09366714684431739,-1.0660568518546338,0.287593614819195,-0.2844779879187821,0.08476898054466472,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
BMI_baseline,0.014832784546098508,0.009509905179465414,1.5597194994253678,0.12029692424756726,-0.0039118008085127914,0.03357736990070981,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
FR_duration,-0.07413283055214444,0.02719035217987139,-2.7264387773183705,0.006930377761905432,-0.12772662225030637,-0.020539038853982505,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
diet_ketoKeto,0.17543945340633868,0.09402782937353235,1.8658247731040645,0.06342780616096676,-0.00989495741478813,0.3607738642274655,refeed_T1T2,CRP (mg/l),AIP_T0,223,223
(Intercept),-0.21442328013755324,0.34844221273458365,-0.6153768754214758,0.5389566877841594,-0.9012234820844864,0.4723769218093799,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
Y_T1,0.8569541109599791,0.03617626005311152,23.688300274872457,7.477062763615118e-62,0.7856485635776147,0.9282596583423435,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
logHOMA_T0,0.009664266733359956,0.04490619140630419,0.215210117596462,0.8298075109598344,-0.0788484914783154,0.09817702494503532,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
age,-6.10141297404747e-4,0.0038212831608830282,-0.15966921887666513,0.8732915494904341,-0.008142116329918927,0.006921833735109433,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
sexM,-0.1381875327875916,0.08470728572751765,-1.6313535677687354,0.10427963616061194,-0.3051506010319963,0.028775535456813134,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
BMI_baseline,0.010110512944337163,0.009526363229229293,1.0613192779922092,0.2897355591830572,-0.00866651219939376,0.028887538088068085,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
FR_duration,-0.07366290452767545,0.02724218652820343,-2.704001180353616,0.007399278234619208,-0.1273588647909571,-0.019966944264393792,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
diet_ketoKeto,0.16892854046206543,0.09386860284491542,1.799627727933268,0.0733214898691742,-0.01609202545734531,0.35394910638147614,refeed_T1T2,CRP (mg/l),logHOMA_T0,223,223
(Intercept),-0.3684661211385727,0.341656158381092,-1.0784705971188033,0.2820322617534665,-1.0418906087487612,0.3049583664716159,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
Y_T1,0.8553084537697302,0.03604694673315329,23.727625535149176,5.774380296836693e-62,0.7842577905862829,0.9263591169531775,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
TyG_T0,-0.043183957714524296,0.04423482400565438,-0.9762434616899176,0.33004097396982024,-0.1303734110868457,0.0440054956577971,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
age,-2.1633006855210945e-4,0.0038155513354876367,-0.056696935653851435,0.9548392704233346,-0.007737007334334226,0.007304347197230008,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
sexM,-0.11325490760437319,0.08714292415646147,-1.2996454812674034,0.19511424905825153,-0.2850187631923669,0.05850894798362051,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
BMI_baseline,0.014504034576858553,0.009171505734355474,1.5814234867158181,0.1152512022494692,-0.003573545464543835,0.03258161461826094,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
FR_duration,-0.07286391889511978,0.02717379447824691,-2.681403914843347,0.007900294525681166,-0.12642507438445322,-0.01930276340578635,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
diet_ketoKeto,0.17386913091738793,0.09381311762277314,1.853356282396708,0.06520139916040318,-0.011042070348775634,0.3587803321835515,refeed_T1T2,CRP (mg/l),TyG_T0,223,223
(Intercept),0.01845754528658772,0.27011012999245043,0.06833340640391239,0.9455849431214218,-0.5140026251678996,0.5509177157410751,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
Y_T1,0.7348418337380211,0.0407108838457739,18.05025497657682,1.1534047785230837e-44,0.6545896634381532,0.8150940040378891,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
AIP_T0,-0.01859416748073853,0.040475975028679216,-0.45938775946876265,0.6464286698338055,-0.09838326892496974,0.06119493396349268,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
age,-0.004561318068631837,0.0031346617805713397,-1.4551228770207125,0.1471213480348967,-0.010740584821962537,0.001617948684698862,refeed_T1T2,ESR (mm/h),AIP_T0,219,219
