Phase,Outcome,Predictor,Term,Estimate,95% CI,P (raw),P (FDR),n_subjects,n_obs
refeed_T1T2,CRP (mg/l),AIP_T0,"AIP (T0), z",-0.043,"[-0.141, 0.055]",0.3835,0.4602,223,223
refeed_T1T2,CRP (mg/l),AIP_T0,Age,-0.001,"[-0.008, 0.007]",0.8562,0.9447,223,223
refeed_T1T2,CRP (mg/l),AIP_T0,BMI (baseline),0.015,"[-0.004, 0.034]",0.1203,0.2707,223,223
refeed_T1T2,CRP (mg/l),AIP_T0,Baseline outcome (T1),0.855,"[0.784, 0.926]", 7.0e-62, 2.2e-61,223,223
refeed_T1T2,CRP (mg/l),AIP_T0,Diet: Keto,0.175,"[-0.01, 0.361]",0.0634,0.4399,223,223
refeed_T1T2,CRP (mg/l),AIP_T0,Refeeding duration,-0.074,"[-0.128, -0.021]",0.0069,0.0237,223,223
refeed_T1T2,CRP (mg/l),AIP_T0,Sex: Male,-0.1,"[-0.284, 0.085]",0.2876,0.8119,223,223
refeed_T1T2,CRP (mg/l),TyG_T0,Age,-0,"[-0.008, 0.007]",0.9548,0.9548,223,223
refeed_T1T2,CRP (mg/l),TyG_T0,BMI (baseline),0.015,"[-0.004, 0.033]",0.1153,0.2707,223,223
refeed_T1T2,CRP (mg/l),TyG_T0,Baseline outcome (T1),0.855,"[0.784, 0.926]", 5.8e-62, 2.2e-61,223,223
refeed_T1T2,CRP (mg/l),TyG_T0,Diet: Keto,0.174,"[-0.011, 0.359]",0.0652,0.4399,223,223
refeed_T1T2,CRP (mg/l),TyG_T0,Refeeding duration,-0.073,"[-0.126, -0.019]",0.0079,0.0237,223,223
refeed_T1T2,CRP (mg/l),TyG_T0,Sex: Male,-0.113,"[-0.285, 0.059]",0.1951,0.7525,223,223
refeed_T1T2,CRP (mg/l),TyG_T0,"TyG (T0), z",-0.043,"[-0.13, 0.044]",0.3300,0.3960,223,223
refeed_T1T2,CRP (mg/l),logHOMA_T0,Age,-0.001,"[-0.008, 0.007]",0.8733,0.9447,223,223
refeed_T1T2,CRP (mg/l),logHOMA_T0,BMI (baseline),0.01,"[-0.009, 0.029]",0.2897,0.5795,223,223
refeed_T1T2,CRP (mg/l),logHOMA_T0,Baseline outcome (T1),0.857,"[0.786, 0.928]", 7.5e-62, 2.2e-61,223,223
refeed_T1T2,CRP (mg/l),logHOMA_T0,Diet: Keto,0.169,"[-0.016, 0.354]",0.0733,0.4399,223,223
refeed_T1T2,CRP (mg/l),logHOMA_T0,Refeeding duration,-0.074,"[-0.127, -0.02]",0.0074,0.0237,223,223
refeed_T1T2,CRP (mg/l),logHOMA_T0,Sex: Male,-0.138,"[-0.305, 0.029]",0.1043,0.7525,223,223
refeed_T1T2,CRP (mg/l),logHOMA_T0,"log(HOMA-IR) (T0), z",0.01,"[-0.079, 0.098]",0.8298,0.9796,223,223
refeed_T1T2,ESR (mm/h),AIP_T0,"AIP (T0), z",-0.019,"[-0.098, 0.061]",0.6464,0.6464,219,219
refeed_T1T2,ESR (mm/h),AIP_T0,Age,-0.005,"[-0.011, 0.002]",0.1471,0.3521,219,219
refeed_T1T2,ESR (mm/h),AIP_T0,BMI (baseline),0.019,"[0.004, 0.034]",0.0146,0.0871,219,219
refeed_T1T2,ESR (mm/h),AIP_T0,Baseline outcome (T1),0.735,"[0.655, 0.815]", 1.2e-44, 1.9e-44,219,219
refeed_T1T2,ESR (mm/h),AIP_T0,Diet: Keto,-0.066,"[-0.217, 0.085]",0.3879,0.5957,219,219
refeed_T1T2,ESR (mm/h),AIP_T0,Refeeding duration,-0.02,"[-0.065, 0.026]",0.4011,0.4924,219,219
refeed_T1T2,ESR (mm/h),AIP_T0,Sex: Male,0.023,"[-0.128, 0.174]",0.7676,0.9778,219,219
refeed_T1T2,ESR (mm/h),TyG_T0,Age,-0.004,"[-0.011, 0.002]",0.1565,0.3521,219,219
refeed_T1T2,ESR (mm/h),TyG_T0,BMI (baseline),0.017,"[0.003, 0.032]",0.0194,0.0871,219,219
refeed_T1T2,ESR (mm/h),TyG_T0,Baseline outcome (T1),0.735,"[0.654, 0.815]", 1.3e-44, 1.9e-44,219,219
refeed_T1T2,ESR (mm/h),TyG_T0,Diet: Keto,-0.069,"[-0.219, 0.082]",0.3695,0.5957,219,219
refeed_T1T2,ESR (mm/h),TyG_T0,Refeeding duration,-0.019,"[-0.065, 0.027]",0.4103,0.4924,219,219
refeed_T1T2,ESR (mm/h),TyG_T0,Sex: Male,0.009,"[-0.132, 0.149]",0.9014,0.9778,219,219
refeed_T1T2,ESR (mm/h),TyG_T0,"TyG (T0), z",-0.004,"[-0.075, 0.068]",0.9215,0.9215,219,219
refeed_T1T2,ESR (mm/h),logHOMA_T0,Age,-0.005,"[-0.011, 0.002]",0.1408,0.3521,219,219
refeed_T1T2,ESR (mm/h),logHOMA_T0,BMI (baseline),0.015,"[0, 0.03]",0.0477,0.1606,219,219
refeed_T1T2,ESR (mm/h),logHOMA_T0,Baseline outcome (T1),0.736,"[0.656, 0.817]", 1.1e-44, 1.9e-44,219,219
refeed_T1T2,ESR (mm/h),logHOMA_T0,Diet: Keto,-0.068,"[-0.218, 0.083]",0.3747,0.5957,219,219
refeed_T1T2,ESR (mm/h),logHOMA_T0,Refeeding duration,-0.02,"[-0.065, 0.026]",0.3974,0.4924,219,219
refeed_T1T2,ESR (mm/h),logHOMA_T0,Sex: Male,0.002,"[-0.134, 0.138]",0.9778,0.9778,219,219
refeed_T1T2,ESR (mm/h),logHOMA_T0,"log(HOMA-IR) (T0), z",0.022,"[-0.05, 0.094]",0.5463,0.9796,219,219
refeed_T1T2,Ferritin (µg/l),AIP_T0,"AIP (T0), z",-0.024,"[-0.048, 0.001]",0.0584,0.1169,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Age,0.001,"[-0.001, 0.003]",0.1862,0.3725,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,BMI (baseline),0.006,"[0.002, 0.01]",0.0055,0.0871,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Baseline outcome (T1),1.012,"[0.98, 1.043]",8.2e-141,7.4e-140,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Diet: Keto,-0.032,"[-0.076, 0.013]",0.1653,0.4959,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Refeeding duration,-0.065,"[-0.078, -0.052]", 4.5e-19, 6.4e-18,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Sex: Male,0.044,"[-0.003, 0.09]",0.0653,0.7525,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,Age,0.002,"[0, 0.004]",0.1174,0.3521,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,BMI (baseline),0.005,"[0.001, 0.009]",0.0114,0.0871,223,223
