Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Ferritin (µg/l)†,Timepoint: T1 vs T0,0.644,0.021,"[0.602, 0.685]",1.34e-88,3.21e-87,☆☆☆,275
Uric Acid (mg/dl),Timepoint: T1 vs T0,2.675,0.111,"[2.457, 2.893]",2.84e-69,3.41e-68,☆☆☆,275
GOT/AST (U/l)†,Timepoint: T1 vs T0,0.406,0.023,"[0.36, 0.452]",3.80e-46,3.04e-45,☆☆☆,275
HDL-C (mg/dl),Timepoint: T1 vs T0,-9.298,0.566,"[-10.411, -8.184]",3.09e-42,1.85e-41,☆☆☆,275
GPT/ALT (U/l)†,Timepoint: T1 vs T0,0.265,0.023,"[0.22, 0.309]",9.44e-26,4.53e-25,☆☆☆,275
Eosinophils abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.336,0.029,"[-0.394, -0.278]",1.06e-24,4.25e-24,☆☆☆,275
Total Cholesterol (mg/dl),Timepoint: T1 vs T0,-23.179,2.073,"[-27.26, -19.097]",5.16e-24,1.77e-23,☆☆☆,275
Lymphocytes abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.148,0.016,"[-0.179, -0.117]",1.30e-18,3.61e-18,☆☆☆,275
Serum Glucose (mg/dl),Timepoint: T1 vs T0,-15.481,1.634,"[-18.698, -12.263]",1.35e-18,3.61e-18,☆☆☆,275
Insulin (mIU/l)†,Timepoint: T1 vs T0,-0.431,0.052,"[-0.534, -0.328]",6.12e-15,1.47e-14,☆☆☆,272
LDL-C (mg/dl),Timepoint: T1 vs T0,-16.572,2.128,"[-20.762, -12.382]",1.56e-13,3.40e-13,☆☆☆,275
CRP (mg/l)†,Timepoint: T1 vs T0,0.465,0.06,"[0.346, 0.583]",2.63e-13,5.26e-13,☆☆☆,275
Gamma-GT (U/l),Timepoint: T1 vs T0,-4.19,0.577,"[-5.326, -3.054]",4.31e-12,7.96e-12,☆☆☆,274
Non-HDL Cholesterol (mg/dl),Timepoint: T1 vs T0,-13.883,2.085,"[-17.988, -9.778]",1.59e-10,2.72e-10,☆☆☆,275
White Blood Cells (Tsd./µl)†,Timepoint: T1 vs T0,-0.087,0.014,"[-0.115, -0.058]",4.37e-09,6.99e-09,☆☆☆,275
GFR (ml/min),Timepoint: T1 vs T0,-2.934,0.514,"[-3.946, -1.922]",3.08e-08,4.63e-08,☆☆☆,275
Triglycerides (mg/dl)†,Timepoint: T1 vs T0,-0.117,0.024,"[-0.165, -0.069]",2.49e-06,3.51e-06,☆☆☆,275
Immature Granulocytes abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.165,0.035,"[-0.234, -0.096]",4.21e-06,5.62e-06,☆☆☆,268
ESR (mm/h)†,Timepoint: T1 vs T0,-0.195,0.047,"[-0.288, -0.102]",4.62e-05,5.83e-05,☆☆☆,273
Platelets (Tsd./µl)†,Timepoint: T1 vs T0,-0.035,0.009,"[-0.053, -0.017]",2.02e-04,2.43e-04,☆☆☆,275
Alkaline Phosphatase (U/l),Timepoint: T1 vs T0,-1.595,0.584,"[-2.744, -0.445]",0.0067,0.0077,☆☆,275
Basophils abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.058,0.023,"[-0.103, -0.012]",0.0137,0.0150,☆,275
Neutrophils abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.052,0.021,"[-0.094, -0.011]",0.0144,0.0150,☆,275
Monocytes abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.044,0.019,"[-0.081, -0.007]",0.0186,0.0186,☆,275
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.1,0.011,"[0.077, 0.122]",2.35e-16,5.63e-15,☆☆☆,275
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.052,0.006,"[0.04, 0.064]",1.15e-15,1.38e-14,☆☆☆,272
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-1.206,0.146,"[-1.493, -0.919]",5.22e-15,4.18e-14,☆☆☆,275
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.114,0.015,"[0.084, 0.144]",7.81e-13,4.68e-12,☆☆☆,275
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.024,0.003,"[0.018, 0.031]",1.08e-11,5.20e-11,☆☆☆,275
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",0.027,0.004,"[0.019, 0.036]",1.23e-09,4.91e-09,☆☆☆,275
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.053,0.009,"[0.036, 0.07]",1.63e-09,5.59e-09,☆☆☆,273
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",0.987,0.172,"[0.649, 1.326]",2.49e-08,7.46e-08,☆☆☆,274
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.015,0.003,"[0.009, 0.02]",8.37e-07,2.23e-06,☆☆☆,275
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",0.992,0.203,"[0.593, 1.391]",1.64e-06,3.95e-06,☆☆☆,275
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.011,0.003,"[0.006, 0.016]",1.84e-05,4.02e-05,☆☆☆,275
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.82,0.195,"[0.436, 1.204]",3.52e-05,7.04e-05,☆☆☆,275
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.014,0.004,"[0.007, 0.021]",1.78e-04,3.29e-04,☆☆☆,275
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.028,0.008,"[0.013, 0.043]",3.11e-04,5.33e-04,☆☆☆,275
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",0.012,0.004,"[0.004, 0.02]",0.0037,0.0059,☆☆,275
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.013,0.005,"[0.004, 0.023]",0.0048,0.0072,☆☆,268
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.018,0.007,"[0.004, 0.031]",0.0105,0.0149,☆,275
GFR (ml/min),"Baseline BMI (kg/m²), centered",-0.313,0.15,"[-0.607, -0.018]",0.0375,0.0500,ns,275
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.006,0.003,"[0, 0.012]",0.0434,0.0548,ns,275
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.903,0.473,"[-1.835, 0.028]",0.0573,0.0687,ns,275
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.003,0.003,"[-0.003, 0.009]",0.2808,0.3209,ns,275
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.004,0.005,"[-0.006, 0.015]",0.4327,0.4720,ns,275
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",0.304,0.463,"[-0.608, 1.216]",0.5122,0.5344,ns,275
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",0.046,0.457,"[-0.855, 0.946]",0.9204,0.9204,ns,275
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.002,0.001,"[0.001, 0.004]",7.63e-04,0.0183,☆,268
GFR (ml/min),"Age (years), centered",-0.068,0.023,"[-0.112, -0.024]",0.0027,0.0327,☆,275
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.0394,0.2361,ns,275
Serum Glucose (mg/dl),"Age (years), centered",0.061,0.029,"[0.005, 0.118]",0.0342,0.2361,ns,275
Alkaline Phosphatase (U/l),"Age (years), centered",0.054,0.031,"[-0.006, 0.114]",0.0779,0.3324,ns,275
CRP (mg/l)†,"Age (years), centered",0.003,0.002,"[-0.001, 0.006]",0.1087,0.3324,ns,275
Ferritin (µg/l)†,"Age (years), centered",0.002,0.001,"[0, 0.004]",0.1155,0.3324,ns,275
GOT/AST (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1664,0.3324,ns,275
GPT/ALT (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1819,0.3324,ns,275
Gamma-GT (U/l),"Age (years), centered",0.04,0.026,"[-0.011, 0.091]",0.1249,0.3324,ns,274
HDL-C (mg/dl),"Age (years), centered",0.032,0.022,"[-0.011, 0.075]",0.1477,0.3324,ns,275
Insulin (mIU/l)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.003]",0.1939,0.3324,ns,272
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1289,0.3324,ns,275
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.1562,0.3324,ns,275
Platelets (Tsd./µl)†,"Age (years), centered",0,0,"[0, 0.001]",0.2664,0.3996,ns,275
Total Cholesterol (mg/dl),"Age (years), centered",0.08,0.071,"[-0.06, 0.22]",0.2619,0.3996,ns,275
