Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Total Cholesterol (mg/dl),Timepoint × fasting duration (Δ per day),-2.902,0.459,"[-3.805, -1.998]",1.09e-09,2.61e-08,☆☆☆,270
LDL-C (mg/dl),Timepoint × fasting duration (Δ per day),-2.681,0.477,"[-3.621, -1.741]",4.93e-08,5.91e-07,☆☆☆,270
Non-HDL Cholesterol (mg/dl),Timepoint × fasting duration (Δ per day),-2.568,0.469,"[-3.491, -1.645]",1.01e-07,8.08e-07,☆☆☆,270
GPT/ALT (U/l)†,Timepoint × fasting duration (Δ per day),0.021,0.005,"[0.011, 0.031]",6.58e-05,3.95e-04,☆☆☆,270
Neutrophils abs. (Tsd./µl)†,Timepoint × fasting duration (Δ per day),-0.017,0.005,"[-0.026, -0.007]",9.09e-04,0.0044,☆☆,270
Gamma-GT (U/l),Timepoint × fasting duration (Δ per day),-0.391,0.135,"[-0.656, -0.126]",0.0040,0.0158,☆,269
CRP (mg/l)†,Timepoint × fasting duration (Δ per day),-0.04,0.014,"[-0.068, -0.012]",0.0048,0.0165,☆,270
ESR (mm/h)†,Timepoint × fasting duration (Δ per day),-0.03,0.011,"[-0.051, -0.008]",0.0069,0.0165,☆,268
Serum Glucose (mg/dl),Timepoint × fasting duration (Δ per day),-1.044,0.383,"[-1.797, -0.29]",0.0068,0.0165,☆,270
White Blood Cells (Tsd./µl)†,Timepoint × fasting duration (Δ per day),-0.009,0.003,"[-0.016, -0.003]",0.0056,0.0165,☆,270
HDL-C (mg/dl),Timepoint × fasting duration (Δ per day),-0.342,0.133,"[-0.604, -0.081]",0.0104,0.0226,☆,270
Eosinophils abs. (Tsd./µl)†,Timepoint × fasting duration (Δ per day),0.016,0.007,"[0.002, 0.029]",0.0235,0.0470,☆,270
Ferritin (µg/l)†,Timepoint × fasting duration (Δ per day),0.01,0.005,"[0.001, 0.02]",0.0360,0.0665,ns,270
GOT/AST (U/l)†,Timepoint × fasting duration (Δ per day),0.011,0.005,"[0, 0.022]",0.0438,0.0750,ns,270
Platelets (Tsd./µl)†,Timepoint × fasting duration (Δ per day),-0.004,0.002,"[-0.009, 0]",0.0473,0.0757,ns,270
Alkaline Phosphatase (U/l),Timepoint × fasting duration (Δ per day),-0.246,0.138,"[-0.517, 0.025]",0.0751,0.1127,ns,270
Monocytes abs. (Tsd./µl)†,Timepoint × fasting duration (Δ per day),-0.006,0.004,"[-0.015, 0.002]",0.1438,0.2030,ns,270
Triglycerides (mg/dl)†,Timepoint × fasting duration (Δ per day),-0.008,0.006,"[-0.019, 0.004]",0.1813,0.2418,ns,270
Uric Acid (mg/dl),Timepoint × fasting duration (Δ per day),0.03,0.026,"[-0.021, 0.082]",0.2502,0.3161,ns,270
Immature Granulocytes abs. (Tsd./µl)†,Timepoint × fasting duration (Δ per day),-0.008,0.008,"[-0.025, 0.008]",0.3163,0.3796,ns,264
