Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Ferritin (µg/l)†,Timepoint: T2 vs T1,-0.11,0.012,"[-0.133, -0.086]",9.40e-18,1.13e-16,☆☆☆,266
Non-HDL Cholesterol (mg/dl),Timepoint: T2 vs T1,-9.507,1.012,"[-11.501, -7.514]",6.20e-18,1.13e-16,☆☆☆,266
Total Cholesterol (mg/dl),Timepoint: T2 vs T1,-9.693,1.082,"[-11.825, -7.56]",1.24e-16,9.90e-16,☆☆☆,266
LDL-C (mg/dl),Timepoint: T2 vs T1,-8.895,1.035,"[-10.935, -6.856]",1.36e-15,8.16e-15,☆☆☆,266
Neutrophils abs. (Tsd./µl)†,Timepoint: T2 vs T1,-0.158,0.022,"[-0.201, -0.115]",6.12e-12,2.94e-11,☆☆☆,263
Uric Acid (mg/dl),Timepoint: T2 vs T1,-0.655,0.092,"[-0.837, -0.473]",1.63e-11,6.52e-11,☆☆☆,266
CRP (mg/l)†,Timepoint: T2 vs T1,-0.25,0.04,"[-0.329, -0.17]",2.79e-09,9.58e-09,☆☆☆,266
White Blood Cells (Tsd./µl)†,Timepoint: T2 vs T1,-0.078,0.014,"[-0.105, -0.051]",3.14e-08,9.42e-08,☆☆☆,265
ESR (mm/h)†,Timepoint: T2 vs T1,-0.145,0.034,"[-0.212, -0.078]",2.61e-05,6.95e-05,☆☆☆,265
Monocytes abs. (Tsd./µl)†,Timepoint: T2 vs T1,-0.066,0.016,"[-0.098, -0.034]",6.09e-05,1.46e-04,☆☆☆,265
GOT/AST (U/l)†,Timepoint: T2 vs T1,-0.059,0.015,"[-0.089, -0.029]",1.58e-04,3.44e-04,☆☆☆,266
Serum Glucose (mg/dl),Timepoint: T2 vs T1,4.811,1.285,"[2.281, 7.342]",2.25e-04,4.50e-04,☆☆☆,266
Gamma-GT (U/l),Timepoint: T2 vs T1,-0.79,0.226,"[-1.235, -0.345]",5.60e-04,0.0010,☆☆,265
Eosinophils abs. (Tsd./µl)†,Timepoint: T2 vs T1,0.088,0.027,"[0.035, 0.14]",0.0012,0.0021,☆☆,265
Insulin (mIU/l)†,Timepoint: T2 vs T1,0.166,0.059,"[0.05, 0.281]",0.0052,0.0083,☆☆,266
Immature Granulocytes abs. (Tsd./µl)†,Timepoint: T2 vs T1,-0.085,0.032,"[-0.148, -0.022]",0.0085,0.0128,☆,252
Alkaline Phosphatase (U/l),Timepoint: T2 vs T1,-0.824,0.328,"[-1.471, -0.177]",0.0128,0.0181,☆,266
Platelets (Tsd./µl)†,Timepoint: T2 vs T1,-0.016,0.008,"[-0.032, 0]",0.0467,0.0623,ns,265
GFR (ml/min),Timepoint: T2 vs T1,0.757,0.43,"[-0.09, 1.604]",0.0795,0.1001,ns,266
Lymphocytes abs. (Tsd./µl)†,Timepoint: T2 vs T1,0.023,0.013,"[-0.003, 0.049]",0.0834,0.1001,ns,265
GPT/ALT (U/l)†,Timepoint: T2 vs T1,0.021,0.014,"[-0.006, 0.049]",0.1250,0.1428,ns,266
Basophils abs. (Tsd./µl)†,Timepoint: T2 vs T1,-0.031,0.023,"[-0.078, 0.015]",0.1823,0.1989,ns,265
Triglycerides (mg/dl)†,Timepoint: T2 vs T1,-0.01,0.013,"[-0.037, 0.016]",0.4308,0.4496,ns,266
HDL-C (mg/dl),Timepoint: T2 vs T1,-0.181,0.252,"[-0.677, 0.315]",0.4737,0.4737,ns,266
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-1.21,0.14,"[-1.485, -0.934]",5.69e-16,1.37e-14,☆☆☆,266
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.101,0.013,"[0.076, 0.126]",1.34e-13,1.61e-12,☆☆☆,266
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",0.039,0.005,"[0.029, 0.049]",1.04e-12,8.29e-12,☆☆☆,266
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.059,0.009,"[0.042, 0.076]",7.79e-11,4.67e-10,☆☆☆,265
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.137,0.022,"[0.093, 0.18]",2.30e-09,1.11e-08,☆☆☆,266
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",0.975,0.175,"[0.63, 1.32]",6.45e-08,2.49e-07,☆☆☆,265
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.039,0.007,"[0.025, 0.053]",7.68e-08,2.49e-07,☆☆☆,266
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.019,0.003,"[0.012, 0.025]",8.31e-08,2.49e-07,☆☆☆,265
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.015,0.003,"[0.009, 0.021]",1.30e-06,3.47e-06,☆☆☆,266
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",1.046,0.22,"[0.612, 1.479]",3.36e-06,8.06e-06,☆☆☆,266
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.012,0.003,"[0.006, 0.017]",4.55e-05,9.94e-05,☆☆☆,265
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",0.019,0.005,"[0.01, 0.029]",6.07e-05,1.21e-04,☆☆☆,266
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.03,0.008,"[0.014, 0.046]",1.81e-04,3.34e-04,☆☆☆,266
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.015,0.004,"[0.007, 0.023]",4.71e-04,8.07e-04,☆☆☆,263
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-1.517,0.506,"[-2.513, -0.522]",0.0030,0.0047,☆☆,266
