Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Ferritin (µg/l)†,Timepoint × refeeding duration (Δ per day),-0.069,0.007,"[-0.082, -0.056]",1.35e-21,3.25e-20,☆☆☆,235
Uric Acid (mg/dl),Timepoint × refeeding duration (Δ per day),-0.371,0.058,"[-0.485, -0.256]",1.05e-09,1.25e-08,☆☆☆,235
HDL-C (mg/dl),Timepoint × refeeding duration (Δ per day),0.582,0.167,"[0.252, 0.912]",6.07e-04,0.0049,☆☆,235
Insulin (mIU/l)†,Timepoint × refeeding duration (Δ per day),0.12,0.039,"[0.043, 0.196]",0.0024,0.0144,☆,235
CRP (mg/l)†,Timepoint × refeeding duration (Δ per day),-0.072,0.027,"[-0.126, -0.018]",0.0087,0.0417,☆,235
GFR (ml/min),Timepoint × refeeding duration (Δ per day),0.742,0.289,"[0.172, 1.312]",0.0110,0.0441,☆,235
GOT/AST (U/l)†,Timepoint × refeeding duration (Δ per day),-0.023,0.01,"[-0.043, -0.002]",0.0285,0.0740,ns,235
Platelets (Tsd./µl)†,Timepoint × refeeding duration (Δ per day),-0.012,0.006,"[-0.023, -0.001]",0.0308,0.0740,ns,235
Serum Glucose (mg/dl),Timepoint × refeeding duration (Δ per day),1.81,0.828,"[0.179, 3.442]",0.0298,0.0740,ns,235
Triglycerides (mg/dl)†,Timepoint × refeeding duration (Δ per day),0.02,0.009,"[0.002, 0.038]",0.0299,0.0740,ns,235
Gamma-GT (U/l),Timepoint × refeeding duration (Δ per day),-0.298,0.153,"[-0.599, 0.003]",0.0521,0.1137,ns,234
Alkaline Phosphatase (U/l),Timepoint × refeeding duration (Δ per day),-0.321,0.223,"[-0.76, 0.118]",0.1507,0.2960,ns,235
Basophils abs. (Tsd./µl)†,Timepoint × refeeding duration (Δ per day),0.024,0.017,"[-0.011, 0.058]",0.1773,0.2960,ns,235
GPT/ALT (U/l)†,Timepoint × refeeding duration (Δ per day),-0.013,0.009,"[-0.031, 0.006]",0.1850,0.2960,ns,235
Neutrophils abs. (Tsd./µl)†,Timepoint × refeeding duration (Δ per day),-0.023,0.016,"[-0.055, 0.009]",0.1630,0.2960,ns,233
LDL-C (mg/dl),Timepoint × refeeding duration (Δ per day),0.893,0.703,"[-0.494, 2.279]",0.2058,0.3083,ns,235
Monocytes abs. (Tsd./µl)†,Timepoint × refeeding duration (Δ per day),-0.014,0.011,"[-0.037, 0.008]",0.2184,0.3083,ns,235
White Blood Cells (Tsd./µl)†,Timepoint × refeeding duration (Δ per day),-0.011,0.01,"[-0.031, 0.008]",0.2459,0.3278,ns,235
Total Cholesterol (mg/dl),Timepoint × refeeding duration (Δ per day),0.787,0.736,"[-0.664, 2.238]",0.2865,0.3619,ns,235
Immature Granulocytes abs. (Tsd./µl)†,Timepoint × refeeding duration (Δ per day),-0.012,0.024,"[-0.06, 0.036]",0.6186,0.7423,ns,225
