"Variable","Term","Estimate","Std. Error","95% CI","p (raw)","p (FDR)","Signif"
"GPT/ALT (U/l)","BMI (baseline), centered",1.168,0.24,"[0.694, 1.643]",2.79e-06,5.85e-05,"☆☆☆"
"Monocytes abs. (Tsd./µl)","BMI (baseline), centered",0.007,0.002,"[0.003, 0.011]",0.000603,0.00422,"☆☆"
"TG/HDL Ratio","BMI (baseline), centered",0.049,0.014,"[0.022, 0.077]",0.000473,0.00422,"☆☆"
"CRP (mg/l)","BMI (baseline), centered",0.219,0.07,"[0.081, 0.357]",0.00201,0.00922,"☆☆"
"GOT/AST (U/l)","BMI (baseline), centered",0.616,0.198,"[0.225, 1.007]",0.0022,0.00922,"☆☆"
"ESR (mm/h)","BMI (baseline), centered",0.239,0.089,"[0.064, 0.414]",0.0077,0.0269,"☆"
"Total Cholesterol (mg/dl)","BMI (baseline), centered",-1.007,0.451,"[-1.898, -0.116]",0.027,0.0809,""
"White Blood Cells (Tsd./µl)","BMI (baseline), centered",0.031,0.019,"[-0.006, 0.068]",0.101,0.265,""
"Ferritin (µg/l)","BMI (baseline), centered",1.502,1.085,"[-0.64, 3.645]",0.168,0.278,""
"Insulin (mIU/l)","BMI (baseline), centered",0.179,0.118,"[-0.054, 0.412]",0.13,0.278,""
"LDL-C (mg/dl)","BMI (baseline), centered",-0.69,0.469,"[-1.617, 0.237]",0.143,0.278,""
"Neutrophils abs. (Tsd./µl)","BMI (baseline), centered",0.022,0.016,"[-0.01, 0.054]",0.173,0.278,""
"Platelets (Tsd./µl)","BMI (baseline), centered",0.715,0.498,"[-0.27, 1.7]",0.154,0.278,""
"Triglycerides (mg/dl)","BMI (baseline), centered",0.589,0.443,"[-0.286, 1.464]",0.185,0.278,""
"Alkaline Phosphatase (U/l)","BMI (baseline), centered",0.183,0.143,"[-0.098, 0.465]",0.201,0.281,""
"Immature Granulocytes abs. (Tsd./µl)","BMI (baseline), centered",0,0,"[0, 0]",0.274,0.359,""
"Eosinophils abs. (Tsd./µl)","BMI (baseline), centered",-0.001,0.001,"[-0.003, 0.001]",0.322,0.398,""
"Uric Acid (mg/dl)","BMI (baseline), centered",0.025,0.03,"[-0.034, 0.083]",0.408,0.477,""
"Lymphocytes abs. (Tsd./µl)","BMI (baseline), centered",0.004,0.006,"[-0.008, 0.016]",0.527,0.583,""
"Basophils abs. (Tsd./µl)","BMI (baseline), centered",0,0,"[0, 0.001]",0.661,0.694,""
"Serum Glucose (mg/dl)","BMI (baseline), centered",0.006,0.286,"[-0.558, 0.57]",0.983,0.983,""
"Neutrophils abs. (Tsd./µl)","Fasting duration (days), centered",-0.067,0.021,"[-0.108, -0.025]",0.00184,0.0374,"☆"
"White Blood Cells (Tsd./µl)","Fasting duration (days), centered",-0.073,0.025,"[-0.121, -0.024]",0.00356,0.0374,"☆"
"LDL-C (mg/dl)","Fasting duration (days), centered",-1.598,0.643,"[-2.869, -0.328]",0.014,0.0734,""
"Total Cholesterol (mg/dl)","Fasting duration (days), centered",-1.608,0.621,"[-2.834, -0.382]",0.0105,0.0734,""
"Alkaline Phosphatase (U/l)","Fasting duration (days), centered",-0.42,0.188,"[-0.791, -0.048]",0.0271,0.095,""
"Eosinophils abs. (Tsd./µl)","Fasting duration (days), centered",0.003,0.001,"[0, 0.006]",0.0234,0.095,""
"Immature Granulocytes abs. (Tsd./µl)","Fasting duration (days), centered",0,0,"[-0.001, 0]",0.0365,0.0958,""
"TG/HDL Ratio","Fasting duration (days), centered",0.04,0.018,"[0.003, 0.076]",0.032,0.0958,""
"Ferritin (µg/l)","Fasting duration (days), centered",2.663,1.461,"[-0.222, 5.549]",0.0701,0.164,""
"Platelets (Tsd./µl)","Fasting duration (days), centered",-1.048,0.682,"[-2.396, 0.3]",0.127,0.266,""
"Triglycerides (mg/dl)","Fasting duration (days), centered",0.731,0.585,"[-0.425, 1.887]",0.213,0.408,""
"Monocytes abs. (Tsd./µl)","Fasting duration (days), centered",-0.003,0.003,"[-0.008, 0.003]",0.345,0.557,""
"Uric Acid (mg/dl)","Fasting duration (days), centered",0.036,0.037,"[-0.036, 0.108]",0.328,0.557,""
"GPT/ALT (U/l)","Fasting duration (days), centered",0.25,0.328,"[-0.398, 0.898]",0.447,0.67,""
"CRP (mg/l)","Fasting duration (days), centered",-0.04,0.092,"[-0.222, 0.142]",0.662,0.798,""
"ESR (mm/h)","Fasting duration (days), centered",-0.049,0.118,"[-0.283, 0.184]",0.677,0.798,""
"GOT/AST (U/l)","Fasting duration (days), centered",0.112,0.272,"[-0.425, 0.648]",0.681,0.798,""
"Lymphocytes abs. (Tsd./µl)","Fasting duration (days), centered",-0.003,0.008,"[-0.019, 0.013]",0.684,0.798,""
"Basophils abs. (Tsd./µl)","Fasting duration (days), centered",0,0,"[-0.001, 0.001]",0.891,0.935,""
"Serum Glucose (mg/dl)","Fasting duration (days), centered",0.073,0.383,"[-0.683, 0.829]",0.849,0.935,""
"Insulin (mIU/l)","Fasting duration (days), centered",-0.006,0.15,"[-0.302, 0.29]",0.968,0.968,""
"Ferritin (µg/l)","Baseline (T0), centered",1.293,0.041,"[1.211, 1.375]",8.66e-69,1.82e-67,"☆☆☆"
"Alkaline Phosphatase (U/l)","Baseline (T0), centered",0.866,0.038,"[0.791, 0.94]",1.09e-51,1.15e-50,"☆☆☆"
"Eosinophils abs. (Tsd./µl)","Baseline (T0), centered",0.624,0.032,"[0.56, 0.687]",4.97e-43,3.48e-42,"☆☆☆"
"Platelets (Tsd./µl)","Baseline (T0), centered",0.825,0.047,"[0.732, 0.919]",3.75e-38,1.97e-37,"☆☆☆"
"Total Cholesterol (mg/dl)","Baseline (T0), centered",0.78,0.055,"[0.672, 0.888]",4.91e-30,2.06e-29,"☆☆☆"
"LDL-C (mg/dl)","Baseline (T0), centered",0.767,0.058,"[0.652, 0.882]",3.71e-27,1.3e-26,"☆☆☆"
"GPT/ALT (U/l)","Baseline (T0), centered",0.758,0.061,"[0.637, 0.88]",9.04e-25,2.71e-24,"☆☆☆"
"Lymphocytes abs. (Tsd./µl)","Baseline (T0), centered",0.655,0.059,"[0.539, 0.771]",2.31e-21,6.07e-21,"☆☆☆"
"GOT/AST (U/l)","Baseline (T0), centered",0.688,0.063,"[0.563, 0.813]",7.1e-21,1.66e-20,"☆☆☆"
"Basophils abs. (Tsd./µl)","Baseline (T0), centered",0.493,0.047,"[0.399, 0.586]",2.12e-19,4.46e-19,"☆☆☆"
"White Blood Cells (Tsd./µl)","Baseline (T0), centered",0.701,0.068,"[0.566, 0.836]",3.86e-19,7.36e-19,"☆☆☆"
"ESR (mm/h)","Baseline (T0), centered",0.527,0.054,"[0.421, 0.634]",8.62e-18,1.51e-17,"☆☆☆"
"Neutrophils abs. (Tsd./µl)","Baseline (T0), centered",0.707,0.081,"[0.547, 0.868]",5.56e-15,8.98e-15,"☆☆☆"
"Immature Granulocytes abs. (Tsd./µl)","Baseline (T0), centered",0.355,0.045,"[0.266, 0.444]",7.05e-13,1.06e-12,"☆☆☆"
"Monocytes abs. (Tsd./µl)","Baseline (T0), centered",0.587,0.075,"[0.439, 0.736]",8.88e-13,1.24e-12,"☆☆☆"
"TG/HDL Ratio","Baseline (T0), centered",0.147,0.025,"[0.098, 0.197]",2.33e-08,3.05e-08,"☆☆☆"
"Triglycerides (mg/dl)","Baseline (T0), centered",0.18,0.031,"[0.118, 0.241]",4.22e-08,5.21e-08,"☆☆☆"
"CRP (mg/l)","Baseline (T0), centered",0.647,0.113,"[0.424, 0.87]",4.93e-08,5.75e-08,"☆☆☆"
"Uric Acid (mg/dl)","Baseline (T0), centered",0.83,0.153,"[0.527, 1.133]",2.36e-07,2.61e-07,"☆☆☆"
"Serum Glucose (mg/dl)","Baseline (T0), centered",0.207,0.078,"[0.053, 0.361]",0.00893,0.00937,"☆☆"
"Insulin (mIU/l)","Baseline (T0), centered",0.015,0.049,"[-0.081, 0.111]",0.757,0.757,""
