Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Monocytes abs. (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),0.031,0.009,"[0.013, 0.049]",6.41e-04,0.0154,☆,254
GOT/AST (U/l)†,T0 × BMI (baseline dependency differs by BMI),0.025,0.012,"[0.001, 0.048]",0.0436,0.3485,ns,256
Gamma-GT (U/l),T0 × BMI (baseline dependency differs by BMI),0.011,0.005,"[0.001, 0.022]",0.0382,0.3485,ns,258
CRP (mg/l)†,T0 × BMI (baseline dependency differs by BMI),-0.014,0.009,"[-0.032, 0.003]",0.1077,0.3840,ns,259
ESR (mm/h)†,T0 × BMI (baseline dependency differs by BMI),0.011,0.009,"[-0.006, 0.028]",0.2103,0.3840,ns,253
GPT/ALT (U/l)†,T0 × BMI (baseline dependency differs by BMI),0.012,0.01,"[-0.007, 0.031]",0.2240,0.3840,ns,258
HDL-C (mg/dl),T0 × BMI (baseline dependency differs by BMI),-0.007,0.005,"[-0.017, 0.003]",0.1722,0.3840,ns,259
Immature Granulocytes abs. (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),0.016,0.009,"[-0.002, 0.033]",0.0893,0.3840,ns,212
LDL-C (mg/dl),T0 × BMI (baseline dependency differs by BMI),-0.017,0.009,"[-0.034, 0.001]",0.0655,0.3840,ns,259
Lymphocytes abs. (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),-0.015,0.01,"[-0.036, 0.005]",0.1502,0.3840,ns,254
Non-HDL Cholesterol (mg/dl),T0 × BMI (baseline dependency differs by BMI),-0.014,0.009,"[-0.032, 0.003]",0.1122,0.3840,ns,259
Total Cholesterol (mg/dl),T0 × BMI (baseline dependency differs by BMI),-0.01,0.008,"[-0.026, 0.006]",0.2179,0.3840,ns,259
Triglycerides (mg/dl)†,T0 × BMI (baseline dependency differs by BMI),-0.008,0.006,"[-0.02, 0.004]",0.1981,0.3840,ns,259
Uric Acid (mg/dl),T0 × BMI (baseline dependency differs by BMI),-0.02,0.014,"[-0.048, 0.008]",0.1685,0.3840,ns,259
Basophils abs. (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),0.009,0.008,"[-0.007, 0.024]",0.2839,0.4542,ns,247
GFR (ml/min),T0 × BMI (baseline dependency differs by BMI),-0.005,0.007,"[-0.018, 0.008]",0.4781,0.6947,ns,259
White Blood Cells (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),0.006,0.009,"[-0.012, 0.025]",0.4921,0.6947,ns,257
Platelets (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),-0.004,0.007,"[-0.018, 0.01]",0.6028,0.8037,ns,257
Eosinophils abs. (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),-0.004,0.008,"[-0.02, 0.012]",0.6430,0.8122,ns,252
Neutrophils abs. (Tsd./µl)†,T0 × BMI (baseline dependency differs by BMI),0.004,0.01,"[-0.016, 0.024]",0.6893,0.8271,ns,249
Serum Glucose (mg/dl),T0 × BMI (baseline dependency differs by BMI),0.002,0.01,"[-0.017, 0.021]",0.8290,0.9474,ns,259
Alkaline Phosphatase (U/l),T0 × BMI (baseline dependency differs by BMI),-0.001,0.006,"[-0.013, 0.011]",0.8870,0.9676,ns,259
Ferritin (µg/l)†,T0 × BMI (baseline dependency differs by BMI),0,0.004,"[-0.008, 0.009]",0.9689,0.9748,ns,259
Insulin (mIU/l)†,T0 × BMI (baseline dependency differs by BMI),-0,0.012,"[-0.023, 0.022]",0.9748,0.9748,ns,259
Ferritin (µg/l)†,"Baseline (T0), centered",0.797,0.026,"[0.746, 0.849]",2.86e-86,6.87e-85,☆☆☆,259
Alkaline Phosphatase (U/l),"Baseline (T0), centered",0.879,0.032,"[0.817, 0.941]",7.60e-79,9.12e-78,☆☆☆,259
Platelets (Tsd./µl)†,"Baseline (T0), centered",0.915,0.041,"[0.835, 0.995]",3.39e-62,2.71e-61,☆☆☆,257
Gamma-GT (U/l),"Baseline (T0), centered",0.701,0.032,"[0.637, 0.764]",6.98e-60,4.19e-59,☆☆☆,258
GFR (ml/min),"Baseline (T0), centered",0.83,0.038,"[0.755, 0.906]",1.69e-59,8.13e-59,☆☆☆,259
HDL-C (mg/dl),"Baseline (T0), centered",0.656,0.032,"[0.593, 0.718]",9.22e-56,3.69e-55,☆☆☆,259
Total Cholesterol (mg/dl),"Baseline (T0), centered",0.756,0.043,"[0.671, 0.841]",2.25e-45,7.70e-45,☆☆☆,259
Non-HDL Cholesterol (mg/dl),"Baseline (T0), centered",0.769,0.045,"[0.68, 0.858]",7.76e-44,2.33e-43,☆☆☆,259
Eosinophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.742,0.044,"[0.656, 0.828]",3.10e-43,8.27e-43,☆☆☆,252
Basophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.728,0.044,"[0.642, 0.814]",6.62e-42,1.59e-41,☆☆☆,247
LDL-C (mg/dl),"Baseline (T0), centered",0.737,0.047,"[0.644, 0.829]",2.53e-39,5.52e-39,☆☆☆,259
GPT/ALT (U/l)†,"Baseline (T0), centered",0.72,0.054,"[0.614, 0.827]",4.85e-31,9.71e-31,☆☆☆,258
Lymphocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.636,0.052,"[0.534, 0.738]",2.16e-27,3.98e-27,☆☆☆,254
CRP (mg/l)†,"Baseline (T0), centered",0.609,0.051,"[0.509, 0.71]",2.37e-26,4.05e-26,☆☆☆,259
ESR (mm/h)†,"Baseline (T0), centered",0.524,0.044,"[0.438, 0.611]",3.47e-26,5.56e-26,☆☆☆,253
White Blood Cells (Tsd./µl)†,"Baseline (T0), centered",0.633,0.058,"[0.52, 0.747]",3.49e-23,5.23e-23,☆☆☆,257
GOT/AST (U/l)†,"Baseline (T0), centered",0.597,0.056,"[0.486, 0.708]",6.28e-22,8.87e-22,☆☆☆,256
Neutrophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.641,0.063,"[0.517, 0.766]",2.32e-20,3.09e-20,☆☆☆,249
Uric Acid (mg/dl),"Baseline (T0), centered",0.957,0.103,"[0.753, 1.16]",1.00e-17,1.26e-17,☆☆☆,259
Monocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.47,0.052,"[0.368, 0.572]",4.40e-17,5.28e-17,☆☆☆,254
Triglycerides (mg/dl)†,"Baseline (T0), centered",0.33,0.04,"[0.252, 0.408]",5.43e-15,6.21e-15,☆☆☆,259
