Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
HDL-C (mg/dl),T0 × fasting duration (baseline dependency differs by duration),-0.027,0.005,"[-0.037, -0.016]",1.30e-06,3.12e-05,☆☆☆,259
Non-HDL Cholesterol (mg/dl),T0 × fasting duration (baseline dependency differs by duration),-0.044,0.01,"[-0.063, -0.024]",1.79e-05,2.14e-04,☆☆☆,259
LDL-C (mg/dl),T0 × fasting duration (baseline dependency differs by duration),-0.042,0.01,"[-0.062, -0.022]",5.66e-05,4.53e-04,☆☆☆,259
Total Cholesterol (mg/dl),T0 × fasting duration (baseline dependency differs by duration),-0.032,0.009,"[-0.05, -0.014]",7.04e-04,0.0042,☆☆,259
Monocytes abs. (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),0.027,0.009,"[0.009, 0.044]",0.0024,0.0117,☆,254
GFR (ml/min),T0 × fasting duration (baseline dependency differs by duration),-0.02,0.009,"[-0.038, -0.002]",0.0330,0.1131,ns,259
GOT/AST (U/l)†,T0 × fasting duration (baseline dependency differs by duration),0.03,0.014,"[0.003, 0.058]",0.0326,0.1131,ns,256
ESR (mm/h)†,T0 × fasting duration (baseline dependency differs by duration),-0.015,0.009,"[-0.033, 0.003]",0.1028,0.3083,ns,253
Serum Glucose (mg/dl),T0 × fasting duration (baseline dependency differs by duration),-0.014,0.009,"[-0.032, 0.004]",0.1316,0.3508,ns,259
Lymphocytes abs. (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),-0.016,0.012,"[-0.04, 0.009]",0.2110,0.5063,ns,254
Insulin (mIU/l)†,T0 × fasting duration (baseline dependency differs by duration),-0.018,0.015,"[-0.049, 0.012]",0.2342,0.5109,ns,259
CRP (mg/l)†,T0 × fasting duration (baseline dependency differs by duration),-0.013,0.011,"[-0.035, 0.01]",0.2614,0.5227,ns,259
Triglycerides (mg/dl)†,T0 × fasting duration (baseline dependency differs by duration),-0.008,0.008,"[-0.024, 0.008]",0.3368,0.6217,ns,259
Basophils abs. (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),-0.008,0.01,"[-0.027, 0.011]",0.4290,0.6787,ns,247
Eosinophils abs. (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),-0.009,0.01,"[-0.029, 0.012]",0.3988,0.6787,ns,252
Ferritin (µg/l)†,T0 × fasting duration (baseline dependency differs by duration),0.004,0.005,"[-0.007, 0.015]",0.4525,0.6787,ns,259
Uric Acid (mg/dl),T0 × fasting duration (baseline dependency differs by duration),0.012,0.018,"[-0.023, 0.047]",0.4887,0.6899,ns,259
Alkaline Phosphatase (U/l),T0 × fasting duration (baseline dependency differs by duration),-0.003,0.008,"[-0.019, 0.013]",0.7119,0.8657,ns,259
GPT/ALT (U/l)†,T0 × fasting duration (baseline dependency differs by duration),0.005,0.01,"[-0.015, 0.024]",0.6525,0.8657,ns,258
Neutrophils abs. (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),0.005,0.015,"[-0.024, 0.034]",0.7214,0.8657,ns,249
White Blood Cells (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),0.004,0.013,"[-0.021, 0.029]",0.7612,0.8700,ns,257
Gamma-GT (U/l),T0 × fasting duration (baseline dependency differs by duration),-0,0.006,"[-0.012, 0.011]",0.9421,0.9639,ns,258
Immature Granulocytes abs. (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),-0.001,0.012,"[-0.024, 0.022]",0.9350,0.9639,ns,212
Platelets (Tsd./µl)†,T0 × fasting duration (baseline dependency differs by duration),-0,0.01,"[-0.021, 0.02]",0.9639,0.9639,ns,257
Ferritin (µg/l)†,"Baseline (T0), centered",0.794,0.027,"[0.742, 0.846]",1.00e-84,2.41e-83,☆☆☆,259
Alkaline Phosphatase (U/l),"Baseline (T0), centered",0.878,0.032,"[0.815, 0.94]",2.88e-78,3.46e-77,☆☆☆,259
Gamma-GT (U/l),"Baseline (T0), centered",0.727,0.03,"[0.667, 0.786]",4.09e-67,3.28e-66,☆☆☆,258
Platelets (Tsd./µl)†,"Baseline (T0), centered",0.922,0.039,"[0.846, 0.998]",2.45e-66,1.47e-65,☆☆☆,257
GFR (ml/min),"Baseline (T0), centered",0.833,0.038,"[0.758, 0.908]",2.75e-60,1.32e-59,☆☆☆,259
HDL-C (mg/dl),"Baseline (T0), centered",0.65,0.03,"[0.592, 0.709]",3.36e-60,1.35e-59,☆☆☆,259
Total Cholesterol (mg/dl),"Baseline (T0), centered",0.761,0.042,"[0.678, 0.845]",2.80e-47,9.59e-47,☆☆☆,259
Non-HDL Cholesterol (mg/dl),"Baseline (T0), centered",0.77,0.043,"[0.684, 0.856]",3.98e-46,1.20e-45,☆☆☆,259
Eosinophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.744,0.043,"[0.658, 0.83]",1.07e-43,2.85e-43,☆☆☆,252
Basophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.724,0.044,"[0.638, 0.809]",8.17e-42,1.96e-41,☆☆☆,247
LDL-C (mg/dl),"Baseline (T0), centered",0.732,0.045,"[0.643, 0.821]",3.87e-41,8.45e-41,☆☆☆,259
GPT/ALT (U/l)†,"Baseline (T0), centered",0.723,0.056,"[0.613, 0.832]",7.25e-30,1.45e-29,☆☆☆,258
Lymphocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.645,0.052,"[0.543, 0.746]",4.50e-28,8.31e-28,☆☆☆,254
CRP (mg/l)†,"Baseline (T0), centered",0.622,0.051,"[0.522, 0.722]",2.15e-27,3.68e-27,☆☆☆,259
ESR (mm/h)†,"Baseline (T0), centered",0.537,0.044,"[0.451, 0.623]",2.35e-27,3.76e-27,☆☆☆,253
White Blood Cells (Tsd./µl)†,"Baseline (T0), centered",0.629,0.057,"[0.516, 0.742]",4.22e-23,6.33e-23,☆☆☆,257
GOT/AST (U/l)†,"Baseline (T0), centered",0.579,0.057,"[0.467, 0.691]",1.63e-20,2.30e-20,☆☆☆,256
Neutrophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.64,0.063,"[0.516, 0.765]",2.42e-20,3.22e-20,☆☆☆,249
Uric Acid (mg/dl),"Baseline (T0), centered",0.931,0.102,"[0.73, 1.131]",2.32e-17,2.93e-17,☆☆☆,259
Monocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.416,0.051,"[0.316, 0.517]",2.01e-14,2.30e-14,☆☆☆,254
Triglycerides (mg/dl)†,"Baseline (T0), centered",0.314,0.039,"[0.238, 0.39]",1.95e-14,2.30e-14,☆☆☆,259
