Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Serum Glucose (mg/dl),T1 × BMI (baseline dependency differs by BMI),0.046,0.011,"[0.025, 0.068]",2.41e-05,5.79e-04,☆☆☆,223
Ferritin (µg/l)†,T1 × BMI (baseline dependency differs by BMI),-0.007,0.002,"[-0.01, -0.003]",7.49e-04,0.0090,☆☆,223
Alkaline Phosphatase (U/l),T1 × BMI (baseline dependency differs by BMI),0.008,0.004,"[0.001, 0.015]",0.0239,0.1908,ns,223
Gamma-GT (U/l),T1 × BMI (baseline dependency differs by BMI),0.005,0.003,"[0, 0.01]",0.0521,0.3127,ns,222
CRP (mg/l)†,T1 × BMI (baseline dependency differs by BMI),0.01,0.006,"[-0.003, 0.022]",0.1300,0.3604,ns,223
ESR (mm/h)†,T1 × BMI (baseline dependency differs by BMI),0.012,0.007,"[-0.002, 0.027]",0.0967,0.3604,ns,219
HDL-C (mg/dl),T1 × BMI (baseline dependency differs by BMI),-0.005,0.003,"[-0.012, 0.001]",0.1196,0.3604,ns,223
Immature Granulocytes abs. (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),0.018,0.012,"[-0.006, 0.042]",0.1352,0.3604,ns,167
Monocytes abs. (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),0.017,0.01,"[-0.002, 0.036]",0.0755,0.3604,ns,219
Uric Acid (mg/dl),T1 × BMI (baseline dependency differs by BMI),0.008,0.006,"[-0.004, 0.02]",0.1943,0.4663,ns,223
Lymphocytes abs. (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),0.01,0.009,"[-0.007, 0.027]",0.2333,0.5089,ns,219
LDL-C (mg/dl),T1 × BMI (baseline dependency differs by BMI),-0.003,0.004,"[-0.011, 0.004]",0.3738,0.6901,ns,223
Non-HDL Cholesterol (mg/dl),T1 × BMI (baseline dependency differs by BMI),-0.004,0.004,"[-0.012, 0.004]",0.3720,0.6901,ns,223
Platelets (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),0.004,0.006,"[-0.008, 0.017]",0.4763,0.8165,ns,219
Total Cholesterol (mg/dl),T1 × BMI (baseline dependency differs by BMI),-0.002,0.004,"[-0.01, 0.006]",0.6159,0.9325,ns,223
White Blood Cells (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),0.004,0.008,"[-0.012, 0.02]",0.6217,0.9325,ns,219
GOT/AST (U/l)†,T1 × BMI (baseline dependency differs by BMI),-0.003,0.006,"[-0.015, 0.01]",0.6782,0.9560,ns,221
Neutrophils abs. (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),0.003,0.009,"[-0.015, 0.022]",0.7170,0.9560,ns,208
Basophils abs. (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),0.001,0.008,"[-0.015, 0.016]",0.9326,0.9707,ns,213
Eosinophils abs. (Tsd./µl)†,T1 × BMI (baseline dependency differs by BMI),-0.001,0.007,"[-0.016, 0.013]",0.8584,0.9707,ns,217
GFR (ml/min),T1 × BMI (baseline dependency differs by BMI),-0.001,0.004,"[-0.009, 0.008]",0.9026,0.9707,ns,223
GPT/ALT (U/l)†,T1 × BMI (baseline dependency differs by BMI),0,0.004,"[-0.008, 0.009]",0.9421,0.9707,ns,223
Insulin (mIU/l)†,T1 × BMI (baseline dependency differs by BMI),0,0.012,"[-0.023, 0.023]",0.9707,0.9707,ns,223
Triglycerides (mg/dl)†,T1 × BMI (baseline dependency differs by BMI),-0,0.008,"[-0.017, 0.016]",0.9693,0.9707,ns,223
Ferritin (µg/l)†,"End of fasting (T1), centered",1.008,0.015,"[0.978, 1.038]",8.10e-145,1.94e-143,☆☆☆,223
Alkaline Phosphatase (U/l),"End of fasting (T1), centered",0.957,0.018,"[0.922, 0.992]",8.51e-127,1.02e-125,☆☆☆,223
