Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Gamma-GT (U/l),T1 × refeeding duration (baseline dependency mod.),-0.055,0.011,"[-0.078, -0.033]",2.46e-06,5.91e-05,☆☆☆,222
Uric Acid (mg/dl),T1 × refeeding duration (baseline dependency mod.),-0.084,0.019,"[-0.122, -0.046]",1.75e-05,2.10e-04,☆☆☆,223
LDL-C (mg/dl),T1 × refeeding duration (baseline dependency mod.),-0.052,0.014,"[-0.08, -0.024]",3.24e-04,0.0026,☆☆,223
Alkaline Phosphatase (U/l),T1 × refeeding duration (baseline dependency mod.),-0.042,0.012,"[-0.065, -0.018]",5.68e-04,0.0034,☆☆,223
CRP (mg/l)†,T1 × refeeding duration (baseline dependency mod.),-0.072,0.022,"[-0.115, -0.029]",0.0011,0.0054,☆☆,223
Non-HDL Cholesterol (mg/dl),T1 × refeeding duration (baseline dependency mod.),-0.047,0.015,"[-0.076, -0.017]",0.0022,0.0090,☆☆,223
Neutrophils abs. (Tsd./µl)†,T1 × refeeding duration (baseline dependency mod.),-0.099,0.039,"[-0.176, -0.022]",0.0118,0.0351,☆,208
Serum Glucose (mg/dl),T1 × refeeding duration (baseline dependency mod.),0.123,0.049,"[0.027, 0.22]",0.0124,0.0351,☆,223
Total Cholesterol (mg/dl),T1 × refeeding duration (baseline dependency mod.),-0.039,0.015,"[-0.069, -0.008]",0.0132,0.0351,☆,223
GOT/AST (U/l)†,T1 × refeeding duration (baseline dependency mod.),-0.041,0.019,"[-0.08, -0.003]",0.0344,0.0827,ns,221
ESR (mm/h)†,T1 × refeeding duration (baseline dependency mod.),-0.058,0.032,"[-0.121, 0.004]",0.0664,0.1450,ns,219
GFR (ml/min),T1 × refeeding duration (baseline dependency mod.),-0.027,0.016,"[-0.059, 0.004]",0.0876,0.1753,ns,223
White Blood Cells (Tsd./µl)†,T1 × refeeding duration (baseline dependency mod.),-0.055,0.033,"[-0.12, 0.01]",0.0951,0.1756,ns,219
Insulin (mIU/l)†,T1 × refeeding duration (baseline dependency mod.),-0.06,0.04,"[-0.138, 0.018]",0.1325,0.2271,ns,223
HDL-C (mg/dl),T1 × refeeding duration (baseline dependency mod.),-0.011,0.009,"[-0.029, 0.008]",0.2491,0.3985,ns,223
Ferritin (µg/l)†,T1 × refeeding duration (baseline dependency mod.),0.01,0.01,"[-0.008, 0.029]",0.2777,0.4165,ns,223
Immature Granulocytes abs. (Tsd./µl)†,T1 × refeeding duration (baseline dependency mod.),-0.047,0.051,"[-0.149, 0.054]",0.3592,0.5070,ns,167
Triglycerides (mg/dl)†,T1 × refeeding duration (baseline dependency mod.),-0.022,0.03,"[-0.082, 0.037]",0.4633,0.6178,ns,223
Eosinophils abs. (Tsd./µl)†,T1 × refeeding duration (baseline dependency mod.),0.018,0.028,"[-0.038, 0.073]",0.5246,0.6626,ns,217
Basophils abs. (Tsd./µl)†,T1 × refeeding duration (baseline dependency mod.),-0.016,0.034,"[-0.084, 0.052]",0.6404,0.6682,ns,213
GPT/ALT (U/l)†,T1 × refeeding duration (baseline dependency mod.),-0.008,0.017,"[-0.042, 0.025]",0.6375,0.6682,ns,223
Monocytes abs. (Tsd./µl)†,T1 × refeeding duration (baseline dependency mod.),0.016,0.034,"[-0.05, 0.083]",0.6310,0.6682,ns,219
