Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Monocytes abs. (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.501,0.118,"[-0.733, -0.269]",3.12e-05,7.49e-04,☆☆☆,219
Ferritin (µg/l)†,T1 × Diet (baseline dependency differs by diet),0.085,0.031,"[0.023, 0.146]",0.0074,0.0647,ns,223
Platelets (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.194,0.073,"[-0.338, -0.051]",0.0081,0.0647,ns,219
White Blood Cells (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.229,0.099,"[-0.424, -0.034]",0.0219,0.1312,ns,219
Basophils abs. (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.247,0.112,"[-0.467, -0.026]",0.0286,0.1370,ns,213
Alkaline Phosphatase (U/l),T1 × Diet (baseline dependency differs by diet),0.079,0.042,"[-0.005, 0.162]",0.0637,0.1837,ns,223
GFR (ml/min),T1 × Diet (baseline dependency differs by diet),-0.129,0.066,"[-0.26, 0.002]",0.0528,0.1837,ns,223
Immature Granulocytes abs. (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.249,0.132,"[-0.51, 0.012]",0.0618,0.1837,ns,167
Neutrophils abs. (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.21,0.115,"[-0.437, 0.016]",0.0689,0.1837,ns,208
Lymphocytes abs. (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.151,0.092,"[-0.332, 0.03]",0.1007,0.2418,ns,219
ESR (mm/h)†,T1 × Diet (baseline dependency differs by diet),-0.133,0.099,"[-0.328, 0.063]",0.1831,0.3380,ns,219
Eosinophils abs. (Tsd./µl)†,T1 × Diet (baseline dependency differs by diet),-0.128,0.094,"[-0.314, 0.058]",0.1772,0.3380,ns,217
GOT/AST (U/l)†,T1 × Diet (baseline dependency differs by diet),-0.11,0.082,"[-0.273, 0.052]",0.1825,0.3380,ns,221
Gamma-GT (U/l),T1 × Diet (baseline dependency differs by diet),-0.046,0.043,"[-0.131, 0.038]",0.2779,0.4763,ns,222
CRP (mg/l)†,T1 × Diet (baseline dependency differs by diet),-0.074,0.078,"[-0.227, 0.08]",0.3455,0.5528,ns,223
HDL-C (mg/dl),T1 × Diet (baseline dependency differs by diet),0.023,0.038,"[-0.051, 0.098]",0.5390,0.8085,ns,223
GPT/ALT (U/l)†,T1 × Diet (baseline dependency differs by diet),-0.008,0.062,"[-0.13, 0.113]",0.8941,0.9794,ns,223
Insulin (mIU/l)†,T1 × Diet (baseline dependency differs by diet),0.037,0.142,"[-0.243, 0.318]",0.7940,0.9794,ns,223
LDL-C (mg/dl),T1 × Diet (baseline dependency differs by diet),-0.003,0.05,"[-0.101, 0.095]",0.9481,0.9794,ns,223
Non-HDL Cholesterol (mg/dl),T1 × Diet (baseline dependency differs by diet),-0.003,0.05,"[-0.102, 0.097]",0.9574,0.9794,ns,223
Serum Glucose (mg/dl),T1 × Diet (baseline dependency differs by diet),0.004,0.145,"[-0.283, 0.291]",0.9783,0.9794,ns,223
Total Cholesterol (mg/dl),T1 × Diet (baseline dependency differs by diet),0.017,0.051,"[-0.084, 0.119]",0.7396,0.9794,ns,223
