Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Ferritin (µg/l)†,"End of fasting (T1), centered",1.005,0.016,"[0.974, 1.035]",5.13e-143,1.23e-141,☆☆☆,223
Gamma-GT (U/l),"End of fasting (T1), centered",0.972,0.015,"[0.942, 1.002]",6.21e-142,7.45e-141,☆☆☆,222
Alkaline Phosphatase (U/l),"End of fasting (T1), centered",0.964,0.018,"[0.93, 0.999]",2.24e-128,1.79e-127,☆☆☆,223
HDL-C (mg/dl),"End of fasting (T1), centered",0.885,0.018,"[0.849, 0.921]",1.82e-117,1.09e-116,☆☆☆,223
Non-HDL Cholesterol (mg/dl),"End of fasting (T1), centered",0.815,0.021,"[0.775, 0.855]",3.49e-101,1.68e-100,☆☆☆,223
LDL-C (mg/dl),"End of fasting (T1), centered",0.784,0.02,"[0.745, 0.823]",6.46e-101,2.58e-100,☆☆☆,223
Total Cholesterol (mg/dl),"End of fasting (T1), centered",0.81,0.022,"[0.767, 0.853]",1.41e-95,4.84e-95,☆☆☆,223
GPT/ALT (U/l)†,"End of fasting (T1), centered",0.908,0.029,"[0.852, 0.965]",6.37e-83,1.91e-82,☆☆☆,223
Platelets (Tsd./µl)†,"End of fasting (T1), centered",0.858,0.029,"[0.8, 0.915]",1.52e-76,4.05e-76,☆☆☆,219
GFR (ml/min),"End of fasting (T1), centered",0.861,0.033,"[0.795, 0.926]",4.33e-68,1.04e-67,☆☆☆,223
CRP (mg/l)†,"End of fasting (T1), centered",0.859,0.036,"[0.788, 0.93]",1.78e-62,3.88e-62,☆☆☆,223
GOT/AST (U/l)†,"End of fasting (T1), centered",0.839,0.037,"[0.767, 0.912]",3.13e-59,6.26e-59,☆☆☆,221
Eosinophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.824,0.04,"[0.744, 0.904]",1.04e-51,1.93e-51,☆☆☆,217
ESR (mm/h)†,"End of fasting (T1), centered",0.735,0.041,"[0.655, 0.815]",8.65e-45,1.48e-44,☆☆☆,219
Uric Acid (mg/dl),"End of fasting (T1), centered",0.708,0.043,"[0.624, 0.792]",1.28e-40,2.05e-40,☆☆☆,223
Basophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.78,0.047,"[0.687, 0.873]",1.40e-39,2.10e-39,☆☆☆,213
Lymphocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.689,0.042,"[0.606, 0.773]",1.98e-39,2.79e-39,☆☆☆,219
Triglycerides (mg/dl)†,"End of fasting (T1), centered",0.665,0.043,"[0.58, 0.751]",1.87e-36,2.50e-36,☆☆☆,223
