Characteristic,Total cohort
Number of subjects,280
"Age (years), mean ± SD",56.5 ± 34.6
"Age (years), median [IQR]","57.2 [49.5, 61.7]"
"Baseline BMI (kg/m²), mean ± SD",27.7 ± 5.4
"Baseline BMI (kg/m²), median [IQR]","27.0 [24.1, 30.6]"
"BMI category: Normal, n (%)",89 (32.4%)
"BMI category: Overweight, n (%)",107 (38.9%)
"BMI category: Obese, n (%)",79 (28.7%)
"Fasting duration (days), mean ± SD",9.8 ± 4.3
"Fasting duration (days), median [IQR]","9.0 [7.0, 11.0]"
"Refeeding duration (days), mean ± SD",2.8 ± 1.6
"Refeeding duration (days), median [IQR]","3.0 [2.0, 3.0]"
"Female, n (%)",170 (60.7%)
"Male, n (%)",110 (39.3%)
"Diet: Non-Keto, n (%)",206 (76.6%)
"Diet: Keto, n (%)",63 (23.4%)
