Index,Timepoint,n,Mean ± 95% CI,mean,ci_low,ci_high
LMR,T0,277,"4.23 [3.98, 4.47]",4.23,3.98,4.47
LMR,T1,264,"3.75 [3.6, 3.89]",3.75,3.6,3.89
LMR,T2,233,"4.11 [3.93, 4.3]",4.11,3.93,4.3
NLR,T0,277,"1.68 [1.58, 1.78]",1.68,1.58,1.78
NLR,T1,259,"1.89 [1.76, 2.01]",1.89,1.76,2.01
NLR,T2,225,"1.6 [1.48, 1.72]",1.6,1.48,1.72
PLR,T0,277,"140.82 [134.54, 147.11]",140.82,134.54,147.11
PLR,T1,264,"158.54 [151.25, 165.83]",158.54,151.25,165.83
PLR,T2,233,"152.57 [145.16, 159.99]",152.57,145.16,159.99
SII (a.u.),T0,277,"429.2 [398.2, 460.21]",429.2,398.2,460.21
SII (a.u.),T1,259,"473.59 [437.43, 509.74]",473.59,437.43,509.74
SII (a.u.),T2,225,"390.05 [358.1, 422]",390.05,358.1,422
